,transcriptcomponentid,transcriptid,companyid,companyname,componenttext,Rating
871622,53860041,1343195,83920810,"Square, Inc.","Right, thanks, Pete. Why don't I just start there? Just normal run-of-the-mill business, right? The Square Capital portion that sits on our own balance sheet is still small relatively. So we're sitting at about $58 million on our balance sheet. Cumulatively, we've now done over $2 billion in Square Capital originations that was facilitated. So just normal course of business. Recall, we typically use our balance sheet for areas where we are still early and curing the data. So products like consumer installments, even products like some of our partnerships. So segueing into that, the important thing with the partnership platform is getting access to the similar sort of data that we see with Square payments, which then helps educate our model so that they can make the right risk trade-off on where to go offer that capital to. So clearly, with partners like Upserve, originally, which does a point-of-sale more geared towards the restaurants world, a partner like Caviar, frankly, who also clearly is bringing in restaurant-type customers, big commerce seeing a lot of sellers business online, and these are all great partners because they're bringing that same type of data that can flow through the models that we have built for our competitive advantage are. It also allows us to serve that loan back in a really seamless way. I think as Jack talked about in the last question, as competitors come and go, what is beautiful about the product is it's getting served to you in your dashboard, where you see your business, and we're actually matching the repayment against how your business is performing. And you can really only do that when you're in the payments flow. And so that's why we look for those partners. It's why we believe we can be very additive to those partners, and it's why we built it in a very scalable platform like way so that as we work with someone like big commerce, they don't need engineers on their side to make this work. We've made it now so plug-and-play that new partners can come on in a really seamless, easy, fast way.",2
971746,57760343,1451559,24704,"American Axle & Manufacturing Holdings, Inc.","Joe, this is Chris. From a metal market perspective, the rates we experienced in the first quarter, very similar to what we experienced sort of the latter part of last year. So those are essentially already assumed into all our guidance. What you see here is really a comparison to the first quarter of the previous year where they were starting to upswing. So I don't know if that makes sense for you. And then on an FX basis, we did see some strengthening a little bit in the currencies that I've mentioned. Keep in mind, 80% of our revenues are U.S. dollar denominated. I don't see that as a major swing in either direction on a go-forward basis.",1
1143149,65424251,1659112,355279,"Match Group, Inc.","On the second question, I hope you're right. We would definitely be a beneficiary if you are, and Match is the -- by far and away, the biggest beneficiary inside the family. But the mobile applications business, which we are just talking about, would also benefit for sure. I don't -- I can't think of anywhere else that it would matter. 
The -- your other question was M&A. I don't think we're getting more aggressive in M&A. I think that we are -- perhaps, we have just more opportunities today than we did 12 or 24 months ago. Again, mobile applications, as we were just talking about, I certainly would not have said M&A is available in the Applications business some time ago. And now that we've got a system there, that is available. I don't think -- again, maybe perhaps picking on the word. I don't think that's more aggressive. It's just that now that fits within our acquisition criteria. I think in the last 12 months, we've been integrating HomeAdvisor and Angie's List, which is a massive project, which I think the team there did phenomenally well. And so now that we've digested that, I think, again, back to the same criteria, that is not -- M&A is now available again there. And maybe that applies in more places. And I guess that answers -- start to answer the other part of your question. We certainly do favor tuck-ins and we'd certainly do favor smaller. I think that that's just -- those have a higher chance of success, and we have a greater embedded competitive advantage when we do acquisitions like that. 
I say this a lot, but I'll -- I know I'll repeat myself by saying, when we do acquisitions in our existing categories, we believe we can be the smartest people in the room because we know that category well, because we've seen every business model in that category, because we know what metrics look like in that category. I think that means we could be smarter than other buyers. Sometimes that means we can know the business or the potential better than the seller. And so that's where we'd like to emphasize our capital. But that doesn't mean we won't -- we always have and always will look at things outside of our businesses, and we'll look for opportunities, big and small, there where we can put capital to work.",1
840102,52894816,1317057,28274,"Euronet Worldwide, Inc.","Well, actually, Mike, we prefer not to do that just for competitive reasons. When it comes to ATM deployment, I mean, we're kind of the best guys at it in the world, and I'd prefer not to let my competitors dissect my numbers quite that much. So I apologize. But we -- what we try to do, though, with you is define these 3 things. So you know the share of products and you know that our -- these low-margin ATMs, as an example, I mean, the typical ones that we signed before this quarter, they're making like $20 a month kind of profit just -- and it's only just basic data processing that we do with them as opposed to owning the equipment, doing all the cash forecasting, doing all their cash reconciliation and so forth, which is where we have the high-value ATMs, and then finding the site. So it's -- these are 3 kind of different businesses, and we think we've got a pretty good idea on how to mix and match these things to deliver good quarters.",3
1430477,78515771,2005633,282159,Jacobs Engineering Group Inc.,"Yes, the new backlog from Wood was just over $400 million, about $425 million. And then what was the second part of the question?",0
1375319,75940555,1931703,344284,iStar Inc.,"Yes. Interesting, I think what we're seeing from third parties now is a recognition of the cash flows coming off these ground leases, big enough, very safe, diverse, do look a lot like some of the highest-grade, long-duration bonds out there. 
And so if you look at similar credit quality, similar credit risk and term securities that trade every day on the screen, we're seeing that methodology that we thought was appropriate, start to be adopted by a number of third parties. 
So first step in valuation was just getting people to see that cash flow stream and use the appropriate discount rates. And we're starting to see that reflected, again, in the share price. 
That alone, I think, justifies a price well above where we've seen the stock trade. We also are now starting to share with people based on last year's significant growth, a sort of future-looking component, what are the future deals and future cash flows going to create? 
Again, this is a unique business, we actually think we're creating significant above-market returns. So we're not just buying commodities. We're actually creating a fundamentally new business that still has excess returns in it because it costs a lot of money to build the machine to actually serve our customers. So there's a second component there. And that will come down to what you think our growth rate is and where you think future pricing will come out. 
And then as you point out, the third piece is the residual piece, which in an individual ground lease probably doesn't have a lot of value, idiosyncratic risk, long time frames, discount rates that are probably north of the growth rates. So we haven't spent a lot of time sharing, sort of the thought process around any individual ground lease residuals. What we have been doing is tracking for you and for others, the amount of value-building up in that account, what we call the unrealized capital appreciation. And we think that's a real asset. And we are going to come back to you with a number of thoughts around how that can and should be valued. But that is something that requires the scaling, the diversifying that Marcos talked about. It doesn't make sense to talk about it on individual deals. But as we get larger, as we continue to scale, you will see us begin to focus on that component more heavily. 
Right now, Jade, to be honest, we just want people to get the cash flow piece right. Because even that, we still think is significantly undervalued. So in time, we think all 3 pieces will get valued by the market. But the first, the straight -- most straightforward, the one that everybody should be able to see right now, even that one, we're still trying to knock down some inaccurate views. And once that happens, again, I think you'll see a number per share that will make everyone pretty happy.",2
266145,19730985,418228,35572,Tidewater Inc.,"It won't. And I think there's a couple of points that's worth making is we've highlighted the retroactive portion of what our otherwise rate increases that we will benefit from a go-forward basis. We don't have much of adjusted data in the quarterly -- the intended quarterly filing, so you'll have to rely on the transcript for that. But it's really -- we experienced this to a smaller degree, I believe, in the June quarter of 2012, but my recollection was a $2 million or $2.5 million benefit to us. And it's really just the way the calendar works sometimes with clients is that we have fleet negotiations that go past the expiry date on the contracts. And so we'll continue to work and as we work things up through our own chain of command and then the clients' chain of command and finally reach to an agreement on rates. They have been retroactive to the start date or the rollover date of contracts. And again, this year, we recognized a more significant retroactive portion of a rate increase, but we did experience it to a smaller degree in fiscal '12. And it's just very possible that we would experience it on a go-forward basis, but it's very difficult to predict when and then what magnitude.",1
98668,11251103,183514,91797,R. R. Donnelley & Sons Company,"Craig, I think as Dan illustrated or talked about, our ratio -- leverage ratio being 2.5 to 3x, it is where we're comfortable with. I think if you look to see what we've done in the last couple of months and actually this year, the technology capabilities that we've added, some underneath the CustomPoint Solutions Group, some not, but, they're not thought about in a graphics industry as us going ahead and taking on such properties. But when you think about -- we already handle secure information and we receive digital content for the products that we routinely print, but as a provider of communication solutions, our customers have need for content. Helium provides that source of content. It can be used for creating publications, book, enhancing websites. More and more of our customers want their website to be the destination place for people, whether during the day or in the evening when they come home. And we're doing it in a cost-effective manner down to the individual level of that particular participant. When you think about monetizing content, Press+ does that. They offer subscription immediate solutions. As I said before, they help generate revenue from any electronic device. And light box provides targeted marketing messages based upon realtime online behavior. LibreDigital, the e-reading services, they serve book, they serve periodical distribution as well as B2C sales, which again is something that Donnelley hasn't participated in. Sequence personal has a system for creating custom publications. They can do that on the fly. They can distribute it electronically or support it by our expensive digital print network. And then when you think about Nimblefish, multichannel marketing and integrating direct response, customized video and pearls to enhance customer loyalty. All of these things here -- it would be a remiss by not mentioning 8touches that has the self-service online marketing templates. But our customers, whether they're the publishers, the Fortune 1000 companies or even the governments, they want their content to be sent to their end users in multichannels. They can't exist without having numerous suppliers. We're fitting that bill right now. So from an acquisition standpoint, you're probably going to see us do more of what you've seen us do along the digital supply chain as opposed to what we've done in the past when you think about properties that are in the graphics industry that we've normally have acquired as a team.",2
504639,35149401,807916,144405183,"Range Resources - Louisiana, Inc.","Yes, absolutely. And we -- we're in the pinks, we're up as well. We have 7 Lower Reds that are going to be drilled this year and 1 Upper Deep Pink. A couple of those are outside of our 1P area. We are -- We've got a very active assessment for evaluation going on in that -- currently on what we want to do to take -- we're having great results in the Upper Red, and everybody's sold on the Upper Red -- everybody being the analysts, you guys. The Lower Red and the Pinks we want to get those better developed as well, and we've got a -- we're putting together a plan to progressively improve the development of those 3 [indiscernible] also.",1
416077,27784009,615922,238570,"United Parcel Service, Inc.",And Ken I'll just add that pretty much all options are still on the table. It's early in the process. And we said last quarter is we really want to be able to meet customer expectations but also meet our financial objectives at peak. So we're still evaluating alternatives out there.,1
1245551,70065130,1789337,168864,"Advanced Micro Devices, Inc.","Hans, yes. So we do have a number of products ramping at TSMC in 7-nanometer and we are not constrained per se. I will say that cycle times of 7-nanometer are longer, and so it just takes more time to ramp up, but we are not constrained. TSMC has supported us quite well.",1
838742,52871419,1316456,319334,Kaiser Aluminum Corporation,"No. They're actually down a little bit. We're 9 to 10 weeks down. I think, we were 10 to 14 weeks when we talked about this in July. And our lead times are pretty consistent, we believe, with competition at this point.",1
1066739,62458860,1582436,310078,Union Pacific Corporation,"Yes. That's a great question. In this year, we've been working through the failure costs or the inefficiency costs that I've talked about. So this year is not a good benchmark, but I think it helps inform and influence and set us up for a strong year in 2019, because we have every expectation that we're going to remove those inefficiency costs that we've seen throughout 2018 and then do way more than that with the Unified Plan 2020. So it's a big number. I can't tell you how to model other than we're showing confidence in our ability to drive productivity and, as we've said here, we're confident that -- or our belief at this point at the early planning phase is that volume will be on the positive side of the ledger and we're just as confident as ever on our ability to drive price above inflation. So from a modeling standpoint, you'll have to, kind of, take those parameters and do what you think the economy is going to look like. But I would say that the $500 million, and again, I said at least $500 million, is a big number. I mean, you can look at historically maybe if you went back over a long period of time, you'd see UP in the 250-ish kind of range. So we think $500 million in any 1 year plus is a big productivity achievement.",-1
598719,42507991,1009008,93027,"Helix Energy Solutions Group, Inc.","Just to add to that, that in the Gulf of Mexico, where the P&A is regulatory driven, we have seen the Q4000 schedule almost full out for the year and the Q5000 schedule for BP is all Well Intervention production enhancement for the next 5 years, so that sort of shows how the market splits there.",0
516339,36312996,840886,297850,Precision Castparts Corp.,"Rob, some of this is just the calendar of how government contracting works, in terms of how it flows to our business. And so it just -- we tend to typically see Q1 have typically some more challenging dynamics than the rest of the year, and that's the way we're seeing this one play out as well.",-2
1166857,66267182,1682892,113541117,"REV Group, Inc.","On the overall inventory for the company, obviously, the biggest inventory increases have been in things like Fire & Emergency, where we really slowed down production, and that's where the inventory really built significantly. Less so in RV, where we're shipping product, and there, we're working off of good backlogs. As far as the retail on the RV side, this sounds a little crazy, but boy, if we can get 3 months of good weather here, especially in the spring buying season, things can turn on the dime in this industry, just as quickly as they can really come to a really slowing effect with bad weather. People have to be out there touching the product to buy it. And they don't like to do that in snowstorms and tornadoes and thunderstorms. So a little bit of luck with the weather kind of in the next 3 months, those retail lots will start to go down quite a bit. I -- the industry is pretty good about predicting. They do a lot of work on where they see the demand, and they're projecting mid-single-digit type growth this year, low to mid-single-digit growth. And I think that's going to happen. If that happens, those retail lots will -- that inventory will shrink, and we'll replenish it.",2
1062851,62368719,1580659,18749,"Amazon.com, Inc.","No -- yes, thanks for your question. This growth rate's going to bounce around. We've had sequential increase in growth rate the last prior 3 quarters, I believe, it was. This quarter is slightly down, but still, 46% growth is very strong. We are at an annualized run rate above $26 billion, and that was about $18 billion this time last year. So we're very happy with the growth in the business, the momentum that we're seeing with enterprise customers. So -- and let me mention, on the cost side, it's been a very good year from gaining greater efficiencies in our infrastructure costs.",3
184103,14729771,299064,383229,"PS Business Parks, Inc.","No, it’s a recurring element. It’s a 4-year program. So from a run rate standpoint, the current G&A of, call it $2 million to $2.2 million, is probably a better run rate on a go forward basis.",0
583807,41298372,973316,328874,"ONEOK Partners, L.P.","Well, I think the spread between Conway and Belvieu will be -- move around quite a bit this year. But I don't think we'll see any material, substantial increase in that spread until you see the ethane come online, which will fill up the pipes between Conway and Belvieu and give you an opportunity for wider spreads. So probably more better opportunity in '17.",1
391598,26144969,574803,283484,Kennametal Inc.,"Yes. First of all, you're right. The increase sequentially are -- I can't remember if you asked year-over-year. And year-over-year, we did, obviously, add some people, and the base we're going off of -- I just want to ground everybody, I think Carlos said this. Last year, we we're clearly in a decelerating decline as far as the overall macro. So we were watching everything. We had stuff locked down very tight. So obviously, we were able to maintain very strict cost controls last year. As we go forward, we typically have our merit increases every October 1. We added some people. 
And then on the Industrial side, we have some of the sales force, because they were up obviously 6% and of course, we're paying some sales commissions. Adam, without getting too specific, I would say that it was probably an equal increase across those, with the headcounts, the merit and some of the sales commissions. They're the main drivers. But it's always like a Catch-22. You can't wait until you have growth to start adding people. So we started adding people, obviously, towards the end of last year into the first quarter in both businesses. I think you see a bit quicker payback on the Industrial side, given the early cycle, and I think we're looking at that closely, as well as some of the opportunities on the Infrastructure side. 
Now that's a little bit softer, but they're a little bit longer projects. So it takes a little bit longer. You don't get significant payback quicker. So we'll see a little bit more of a return faster on the Industrial side going forward. And with a little bit -- maybe longer, but we still think we need the right investments as it relates to the Infrastructure side of the house. So the payback will be a little bit different. I think it will be quicker on the early cycle than the later. But we think longer-term, some of the bigger projects and the growth that's fragmented there will be opportunistic. And then we'll see how the TMB acquisition can help fill some of those gaps going forward.",-2
177805,14597155,296222,312769,Vulcan Materials Company,"Kathryn, let me try to just provide a little more color on that. If you look at our variable costs of production in the quarter, they declined as compared -- on a unit basis as compared to our variable costs of production in the first quarter of last year. And as Don mentioned, that was predominantly labor efficiency offsetting diesel fuel. Our cash period costs, and period costs in our way of -- in our terminology is your fixed costs. Those -- the spending at the cash period costs level was flat year-over-year, so we've got 10% additional volume. So that same level of cash spending is being spread over more tons. And if you look at the supplemental schedules, you'll see that our depreciation expense in the various business segments is declining as well. So the dollars of non-cash fixed expense are being -- are not only declining, but being spread over a larger amount of tons. I should also point out that in the quarter, we also reduced our units of Aggregates inventory as well by several million tons. So we got this level of operating leverage on a level of production that was less, that increased less than the increase in the level of sales. So again, I think it's a further illustration of both the disciplined working capital management by our operating guys and the inherent profitability of this business as it comes into recovery.",3
1242131,69971682,1786869,258181,Coterra Energy Inc.,"Yes. Paul, again, Matt digs on these numbers regularly and I'll let him give you the color.",0
173737,14315727,290724,285827,Lockheed Martin Corporation,"Rob, I'll jump in from my perspective as well. I look at our cash deployment practice, and I think the key word there has been flexibility and specifically, flexibility to address sort of 4 constituents that I always think of relative to cash deployment. Obviously, starting with folks like yourself and shareholders where we consider dividends, stock repurchase. I also think the ability to have some fairly quick action on acquisitions, by having some cash in the bank to enable us to do some quick decisions and not have to wait on financing, for instance, is a help as well. I look at customers and there, the ability to make the critical investments from both a capital expenditure and IRAD perspective, our independent research and development. I think having some consideration for addressing potential continuing resolution impacts in advance of sequestration impacts, including the effects of small suppliers and being able to decide what makes sense from a disruption perspective as far as helping some of those smaller suppliers through these periods of funding uncertainty, I think, is also helpful. I look at employees as another constituent, and that's -- primarily, that relates to funding the pension plan, which I think we've demonstrated our willingness to do that quite long, or for quite some time. And lastly, I look at debt holders. And there, I think maintaining the appropriate ratings levels relative to our desires going forward, keeping a balance between the demands of equity holders and debt holders is a critical element there as well. And I think the question is sort of maintaining that balance and maintaining that flexibility going forward. I think Chris has one other add here.",1
1098529,63489081,1611215,107911,Tenet Healthcare Corporation,"So this is Eric. I'd answer a couple of those questions. So first of all, when we look forward, capacity utilization still remains -- we have, in our remaining markets, we have plenty of capacity support, obviously, our growth perspectives -- and our capacity utilization is a little higher in the markets that we're keeping, obviously, the ones we're getting rid of. But I would say that from a go-forward perspective, when you think about pricing, we're continuing to focus on high-acuity items or high-acuity service lines. And so you're seeing that growth show up in the revenue. It's the same thing we're seeing in our ERs. If you look at the level 1 and 2 visits, they're down slightly, the level 4 and 5s are up about 3%. So we continue to expect that acuity is going to drive a fair part of that, along with the managed care agreement terms that we've already negotiated. So we feel good about the pricing. From a service line perspective, if you look at the markets we're in, that we have -- that remain in, because of the markets we divested, our market share is up approximately 6 points in those markets. We feel better positioned than ever. 80% of those markets we're #1 or 2 in, and we're working very closely with Brett to not just be looking at the inpatient market share but really be thinking about kind of what does the health care system look like in a market. And we think that positions us well to, again, grow the high acuity in our hospitals and also grow overall outpatient volume in the USPI assets.",3
200619,15709037,324809,289484,Multi-Color Corporation,"Yes. I mean, obviously, at $20 million it doesn't change the dial too much quarter-by-quarter. So yes, we'd see a continued weaker third quarter for us, the December quarter, and the others will vary from year-to-year. But on average, much, much necessary [ph].",-2
94439,13771441,279151,283986,Kirby Corporation,"Yes, it was lower last year and lower even more the year before. You're beginning to see the recovery fast. And down, significantly down from the 2008 levels.",-1
1490733,82782959,2105761,250549,American Woodmark Corporation,"So specifically, in the R&R space, our stock business, again, continues to perform quite well. It's the MTO area that's been a bit more of a challenge, and we did see incoming order rates improve throughout the quarter, and we expect that to be a better result in Q2. 
I don't know if I can commit to that, that's going to be a positive comp at this point in time. And then on the dealer and distributor space, we have seen that trend improved as well, I believe, in April -- kind of the March, April, May time period, all 3 of those months in that space, we were down double digit, and we've seen that come back quite nicely in June and July.",2
339539,22530868,487733,266311,"Delta Air Lines, Inc.","I think we're very excited about business travel. We're very excited about core demand, enthusiastic about it. Of course, there is a correlation to fuel, right? And when fuel goes up, airline ticket prices have do go up as well. And as fuel came down, airline ticket prices on the margins would go down a bit. But that had really nothing to do with core demand and margins expanded. So I wouldn't really correlate that -- those small yield declines to any kind of yield core deterioration in the long term.",3
82721,10755792,174136,299233,RLI Corp.,"I don't know if that's the reason. But we do know that our competitors, in some instance, are pretty aggressive.",-1
233569,16844844,348203,30513,"Kennedy-Wilson Holdings, Inc.","Well I think part of how we think about it too was that we reframe what we are doing against the, what I considered to be the extreme volatility in the world. One day the market can be up 200 basis points likely it’s down 200 basis points and so we are trying to manage all of the growth with a very conservative balance sheet and post-this offering, our debt, our total debt to net worth is like 0.6:1.
And if you look at any of the peers in our space and really go and look at their balance sheet, they are highly leveraged. We are trying to do this in a way where we are not really leveraging ourselves. And I have said before that we are generally going to keep our total debt to worth ratios under one-to-one. You are right that part of the capital raising have to what the opportunities might be. So, we have to wait really to see what happens in Europe here over the next, really, month because we’ve got three fairly large acquisitions we’re right in the middle of right now that may or may not happen. But, whatever we’re not going to the next capital raised is not going to be in the equity department so we’ll just have to see where we go from here.",1
346728,22831324,493923,249841,Hess Corporation,"No. I think we -- either/or, I guess, is how I would answer that. It's mainly going to be a function of how much capital you put in and how fast you ramp it up. Because we will interchange Three Forks and Middle Bakken wells as necessary, again, trying to go where the highest return is. So [indiscernible].",1
232079,16613858,342872,388397,"Fisher Communications, Inc.","Again, I appreciate your question, Mario, but it is not appropriate for me to comment on any kind of potential or future transaction or any kind of speculation or rumor. It's just not appropriate.",0
1526023,90187019,2360210,310364,UMB Financial Corporation,"We can tell you though that we have approved and we are adding additional associates in that area or -- and we have seen success that's been documented as far as our activities, and we do anticipate it being beneficial for us.",3
215111,16165474,333815,297850,Precision Castparts Corp.,"No, because -- no. I mean, what we typically work with our customers -- I mean, we will be moving product around, we'll be moving tools around. So I think that our customers understands that we're doing everything possible that we need to do to make sure that their schedules can be protected. But I don't want to ever say never, never, never, but it's very, very, very rare that our customers, given this type of outage, would ever come back and look for anything. And again, right now, we have the ability not to shut down lines by mix and match and moving tools around. So I'd say it's highly unlikely that we'd see any financial impact from that.",1
678118,45189230,1080586,395750,Entercom Communications Corp.,"Well, it starts from -- we're in an enviable position right now with a very strong balance sheet that's only gotten stronger now through our refinancing, with over $2 a share of free cash flow. But I think it's also important to note that we've been a very disciplined steward over the years, and that's going to continue. We're comfortable with our current level of leverage, but we also like the idea of continuing to delever in taking advantage of the free cash flow. We do have a couple of upcoming uses of capital, the facility -- the execution of the Charlotte purchase, and then, in addition, we will ultimately take out the preferred, as we've touched on, probably sometime in 2017 as well, which will be an accretive event to us. And beyond that, we'll -- our dividend is a relatively small, I think it's a relatively small share of our free cash flow, roughly 15% of trailing free cash flow on a pro forma basis. So that's something I'm sure the board will think about over time. And we'll continue to look, again with a very disciplined eye, towards value creation in M&A, and I think our balance sheet gives us a -- puts us in a nice position to be able to take advantage of opportunities as they present themselves. But, again, we'll do so opportunistically but without feeling any compulsion or necessity to do so.
So I think we're in a great position, and I'm excited about where we are for the remainder of this year and into 2017 and beyond.",3
1468681,82382267,2096026,527542,Xcel Energy Inc.,"Well, I think we'll take a number of factors into consideration. But I think, as you know, our steel for fuel strategy accomplishes capital investment, job growth and helps with rates. So to the extent we can emphasize that, I think the better we'll be. There will be a solicitation, and we'll bring those projects in. We are anticipating that we'll have a very good price point for the solar that we're planning. And Brian or Bob, I don't know if you want to add anything else?",3
718251,47913982,1159967,32893341,"Blackhawk Network Holdings, Inc.","Yes, essentially there's 2 major -- or 2 material components are the sale of that PayPower business during 2016, it happened in 2 pieces. One, the U.S. piece, where we sold to NetSpend, and the second in Canada later in the year. The total impact or benefit in the course of the year was about $6 million from that. 
The other component relates to this migration of open loop card portfolios onto our issuing bank contracts for certain acquisition-related entities. So GiftCards.com we bought in the first quarter and then Extrameasures. So the net benefit from these various moves over the course of the year is probably in the neighborhood of $8 million to $10 million.",2
1052646,62104997,1574232,405277,Celanese Corporation,"Yes. So Jeff, this is Scott Sutton. Look, I mean, we don't worry too much about sequential volumes when, as you know, we run a model there where we go out and activate our networks. So sometimes, we're in stronger in a certain derivative; and sometimes, we're out of that. You really have to think about the whole year for the health of the business. And for the whole year, even volumes in that business will increase.",2
658988,44691421,1066395,11041860,"Digital Realty Trust, Inc.","Yes, I think that's -- this is Scott here. That's on Page 21, I believe, of the appendix. If you look at that, it does quarter-by-quarter on a trailing 12 months. And you'll see that there's a much smoother line there, if you will. We always talk about the business being lumpy. So if you compare that with the signings in the main deck, you'll see how that smooths out the lumpiness a little bit. The only one to take a look at is you'll see a little bump in early 2014, which is we had kind of -- we had very high signings when we were clearing through that excess inventory that had been built over the prior kind of 1.5 years or so. So that's a good illustration of how the -- if you look over time, longer time frames, the lumpiness gets smoothed out.",1
1505690,84672668,2154717,274818,SPX Corporation,"Yes. I'll take a pass at that as well. So Engineering Solutions has done extraordinarily well this year. It's been one of our really strong points, a resilient part of our business during the pandemic. We ended the year with a good book of business. We'll enter next year with a good book of business. If you go back to Q4 of last year, a lot of the -- some of the pricing activities that we saw flow through the first 3 quarters began last year in the fourth quarter. Some of the operational and some of the mix improvements that we made, we saw in the fourth quarter of last year. So the comp of last year included a lot of the operational and pricing improvements that we have benefited from in the first 3 quarters of this year. 
As we look into next year, we do see a modest organic decline. We see maybe a modest margin decline. But that being said, we still think we have a lot of opportunities for that to be a solid contributor. And as Gene said, this is one of the opportunities, I think, that for continuous improvement, there's a lot of dollars there that the Lean process, 80/20 process will be very well-suited to help us gain some margin improvement there as well.",-2
456986,31349200,709896,6330458,"Proofpoint, Inc.","Yes, it's a combination of both. So we have both customers who, in looking to do an add-on deal, just decided that it's convenient to just get the renewal that's due in the coming period out of the way, and so it all gets wrapped up together. And then we also have customers who, for budget purposes, they happen to have dollars available. It's just easier for them to get this thing off the decks and move on to other budgeted projects. Now we don't give people discounts for this activity. So it's not a financially incentive behavior. This is really only done at the customer's convenience. And so we had more of that activity this quarter than we've historically seen, so it was a bit of a surprise. And that's why I thought it was important to get people to normalize [indiscernible] growth rate to understand the greater which we would actually be growing year-over-year when you took that effect out. Certainly, don't have any other color to add there. It's -- again, it's something that we see sometimes a little bit more obvious, sometimes a little bit less of. But it happens kind of as baseline background activity, but it's not a focus for us as a business to drive that specifically.",2
698548,46448105,1119415,306496,Swift Transportation Company,How much did fuel all-in negatively impact the fourth quarter 2016 results? What are the levels of fuel headwinds baked into management's current first quarter '17 and second quarter '17 EPS guidance?,0
1093716,63445108,1610035,314896,United States Steel Corporation,"This is Dave. While I can't speak to what the others are going to be doing for sure, I can tell you that we feel comfortable about what we've done with Granite City. That was clearly the right decision to make. We believe that this administration is going to stay true to creating this fair trade environment. So we're comfortable with where we are. We're focused on revitalization of assets and making sure that we carry through that program and making sure that these assets are as productive as possible. As far as adding a bunch of capacity, that's not going to happen. We're going to run the assets that we have exceptionally well and do our best to return value to our stockholders, especially over the longer term.",1
1384874,76342264,1945312,325589,"Shiloh Industries, Inc.","Yes. It's wonderful, the progress you're making considering the pullback in the automotive industry and what you're dealing with in the February and March periods in China. Can you just elaborate a little bit, you mentioned about $450 per content on the BMW situation, when does that -- when will that start?",0
1389358,76669039,1952856,181176,"McCormick & Company, Incorporated",And as more consumers really go online to digital -- and we've been migrating our trade spend to digital for the last couple of years. So you'll see more of that there.,1
1355024,74730329,1903728,262857074,"Energizer Holdings, Inc.","You have seen a little bit of conversion in the hearing aid' segment. Right now, what you're seeing is more hearing aid devices are taking rechargeable batteries. There also with some loss distribution, which occurred before we acquired the business, we're still cycling through that. It was a healthy margin business. It is a smaller piece of our business but -- than it was for the Spectrum business. But you're still seeing extremely healthy trends in the specialty segment overall, hearing aid is a part of that. But what you're seeing is on the lithium point side, nice growth rates, where we're able to capitalize nicely with our expanded portfolio.",2
1254046,70201764,1792468,36464,Mr. Cooper Group Inc.,"Yes. I think the way to think about Titan was is it's -- it's become a way of life within the company, right. It's really built into our DNA now to use that process to continue to find efficiencies, continue to improve the customer experience. So I think the official kind of spin is Titan will be done at year-end, but we'll continue to see benefits rolling into 2020 and beyond. That discipline that we have in looking at those projects is quite good. And we feel good about more opportunity going forward.",1
1412534,78980858,2018609,303104,The Sherwin-Williams Company,"Yes. Help them make more money, help them achieve their goals, help solve their problems, everything we can do.",0
1308651,72406857,1850816,296308,"Altria Group, Inc.","Yes. I think, Pamela, it's too early to update those. I think we tried to revise the assumptions. Remember, we ran a range of scenarios because we're still waiting on the FDA to issue final guidance. You'll recall that JUUL took unilateral action in the marketplace, but all of these products are still available. So we're waiting to see what that final guidance is and see what -- how the consumer is going to be at play and what restrictions around product availability there will be, and then we'll -- we can refresh those. 
So what we did is we ran a range of scenarios so that we would make sure that we had accounted for the various assumptions and changes in those assumptions that could take place across a range of outcomes.",-2
1371353,75466897,1919720,4161770,"KBR, Inc.","Yes. I think that's right, Gautam. I mean typically there's -- the rush is in there in Q3 before people like, get or use all their budgets up. But yes, Q2 -- it will be weighted heavily in Q2 and Q3, with the exception of LOGCAP V, of course. LOGCAP V comes through as -- and gets -- actually, they move forward with the transition. We'll know more about the task orders, and those will get booked in -- obviously, in Q1.",1
1168448,66492297,1689739,54070696,"Cloudera, Inc.","Yes. So we are well along in terms of executing the synergies. All the people-related elements of the synergies, the actions associated with them have already been taken. So therefore, as you think about your model, the cost structure that we have today is pretty much what we're going to see through the remainder of this year. So we'll see slight increases in expense, but the team is now in place that is able to execute to the plan for this year so think flattish costs with obviously ARR growth being around 20%. To the extent that we're finding synergies above and beyond $125 million target, we are generally reinvesting those synergies to accelerate growth with the focus of technical resources to help our customers, some of that embedded in our professional services margin; more dollars for R&D to accelerate innovation; and some additional technical resources on the sales side to help in the sales cycle. So there's a reinvestment strategy to the extent that we see more than the $125 million.",1
1436319,78861518,2015786,25981,Callaway Golf Company,"Casey, this is Patrick. Some of that is with Jack actually managing their inventory. So remember, as we were talking about in early '19, because of the warm weather at the end of '18, right, they were managing through inventory. So that was planned as we were talking to you guys on that side. There might have been a little bit of timing on inventory in the golf equipment, but the Jack inventory is a good piece of that.",0
710539,46763402,1127556,296181,Exelon Corporation,"There hasn't been any concrete conversations, just preliminary recognition of what's going on in the marketplace and the need to maintain the diverse power sources, looking at the economics, local economics of them and the benefit to the customers. So just starting, a lot more dialogue will happen with NEI and the administration. And we're staying involved with NEI and also with our own folks interfacing with the administration.",0
261880,20642581,441059,28151,TMS International Corp.,"Bill, our volumes were flat quarter-over-quarter and year-over-year actually. And as we build this web, we are looking at diversifying geographies and commodities. And as we get farther into those, we'll have to develop and see where our margins take us in each of those commodities.",0
